FECHA TRANSACCION;FECHA ENTRADA;NUMERO REFERENCIA;DESCRIPCION;DESCRIPCION_2;DESCRIPCION_3;ORIGEN;VALOR;SALDO
20191202;20191202;93103138; 29/11/19 GOC 02                        ;DEPOSITO CTA AH SIN LIBRETA             ;;CR;36280;3116186.43
20191202;20191202;93203697; 30/11/19 GOC 02                        ;DEPOSITO CTA AH SIN LIBRETA             ;;CR;27229;3143415.43
20191202;20191202;11022905; TIENDA GOC 01 29/11/19                 ;DEPOSITO CTA AH SIN LIBRETA             ;;CR;28969.83;3172385.26
20191202;20191202;11312063; TIENDA GOC 01 30/11/2019               ;DEPOSITO CTA AH SIN LIBRETA             ;;CR;10046.98;3182432.24
20191203;20191203;92455831; 02-12-19 GOC 02                        ;DEPOSITO CTA AH SIN LIBRETA             ;;CR;5000;3187432.24
20191204;20191204;93609743; 3/12/19 GOC 02                         ;DEPOSITO CTA AH SIN LIBRETA             ;;CR;7528;3194960.24
20191204;20191204;24825712; TIENDA GOC 01 02/12/19                 ;DEPOSITO CTA AH SIN LIBRETA             ;;CR;825;3195785.24
20191204;20191204;24919298; TIENDA GOC  01  03/12/19               ;DEPOSITO CTA AH SIN LIBRETA             ;;CR;4087.05;3199872.29
20191205;20191205;92150837; 04-12-19 GOC 02                        ;DEPOSITO CTA AH SIN LIBRETA             ;;CR;11757;3211629.29
20191205;20191205;45611983; TIENDA GOC-01                          ;DEPOSITO CTA AH SIN LIBRETA             ;;CR;2500;3214129.29
20191206;20191206;90959170; 05/12/19 GOC 02                        ;DEPOSITO CTA AH SIN LIBRETA             ;;CR;2303;3216432.29
20191207;20191207;92700506; 06-12-19 GOC-02                        ;DEPOSITO CTA AH SIN LIBRETA             ;;CR;7614;3224046.29
20191209;20191209;91743982; 07/12/19 GOC-02                        ;DEPOSITO CTA AH SIN LIBRETA             ;;CR;5944;3229990.29
20191209;20191209;91854912; 08/12/19 GOC-02                        ;DEPOSITO CTA AH SIN LIBRETA             ;;CR;2361;3232351.29
