Fecha,Referencia,Detalle de Transacciones,Débitos,Créditos,Balance
01/03/2019,0000003042,Pago cheque por caja,"34,000.00",,"2,795,644.33"
01/03/2019,0000003042,Impuesto Art.12 Ley No.288-04,51.00,,"2,795,593.33"
01/03/2019,2702976660,XXX XXXXXXX XX X-,,"234,305.34","3,029,898.67"
01/03/2019,2702976970,XXX XXXXXXX XX X-,,50.40,"3,029,949.07"
01/03/2019,2702978020,XXX XXXXXXX XX X-,,"7,223.58","3,037,172.65"
01/03/2019,0000003041,Pago de Cheque Via Camara,"1,000,000.00",,"2,037,172.65"
01/03/2019,0000003041,Impuesto Art.12 Ley No.288-04,"1,500.00",,"2,035,672.65"
01/03/2019,0000003044,Pago de Cheque Via Camara,"246,487.14",,"1,789,185.51"
01/03/2019,0000003044,Impuesto Art.12 Ley No.288-04,369.73,,"1,788,815.78"
04/03/2019,0000003040,Pago cheque por caja,"17,110.00",,"1,771,705.78"
04/03/2019,0000003040,Impuesto Art.12 Ley No.288-04,25.66,,"1,771,680.12"
04/03/2019,2704565070,"XXXXXXXX, S.R.L.-",,"41,038.87","1,812,718.99"
04/03/2019,0000000000,Deposito,,"187,620.00","2,000,338.99"
04/03/2019,0000000000,Credito por Transferencia,,"30,301.77","2,030,640.76"
05/03/2019,2705788830,XXXXXXXXX XX XXX-,,"695,115.06","2,725,755.82"
05/03/2019,0000003047,Pago Cheque Via Deposito,"2,250.00",,"2,723,505.82"
05/03/2019,0000003047,Impuesto Art.12 Ley No.288-04,3.37,,"2,723,502.45"
06/03/2019,0000000000,XXXXXX XXXXXXXXX-,"234,305.34",,"2,489,197.11"
06/03/2019,0000000000,XXXXXX XXXXXXXXX-,"7,273.98",,"2,481,923.13"
06/03/2019,0000000000,XXXXXX XXXXXXXXX-,"41,038.87",,"2,440,884.26"
06/03/2019,0000000000,Impuesto Art.12 Ley No.288-04,351.45,,"2,440,532.81"
06/03/2019,0000000000,Impuesto Art.12 Ley No.288-04,10.91,,"2,440,521.90"
06/03/2019,0000000000,Impuesto Art.12 Ley No.288-04,61.55,,"2,440,460.35"
06/03/2019,0000000000,COMISION SERVICIO ACH RD$-APROBADAS,8.00,,"2,440,452.35"
06/03/2019,0000000000,COMISION SERVICIO ACH RD$-APROBADAS,8.00,,"2,440,444.35"
06/03/2019,0000000000,COMISION SERVICIO ACH RD$-APROBADAS,8.00,,"2,440,436.35"
06/03/2019,0000003049,Pago cheque por caja,"24,500.00",,"2,415,936.35"
06/03/2019,0000003049,Impuesto Art.12 Ley No.288-04,36.75,,"2,415,899.60"
06/03/2019,0000003043,Pago cheque por caja,"10,000.00",,"2,405,899.60"
06/03/2019,0000003043,Impuesto Art.12 Ley No.288-04,15.00,,"2,405,884.60"
06/03/2019,0000003048,Pago cheque por caja,"810,000.00",,"1,595,884.60"
06/03/2019,0000003048,Impuesto Art.12 Ley No.288-04,"1,215.00",,"1,594,669.60"
06/03/2019,0000003051,Pago cheque por caja,"7,059.20",,"1,587,610.40"
06/03/2019,0000003051,Impuesto Art.12 Ley No.288-04,10.58,,"1,587,599.82"
06/03/2019,0000003045,Pago Cheque Via Deposito,"6,900.00",,"1,580,699.82"
06/03/2019,0000003045,Impuesto Art.12 Ley No.288-04,10.35,,"1,580,689.47"
07/03/2019,0000003050,Pago cheque por caja,"19,800.00",,"1,560,889.47"
07/03/2019,0000003050,Impuesto Art.12 Ley No.288-04,29.70,,"1,560,859.77"
07/03/2019,0000003038,Pago cheque por caja,"10,000.00",,"1,550,859.77"
07/03/2019,0000003038,Impuesto Art.12 Ley No.288-04,15.00,,"1,550,844.77"
08/03/2019,0000002980,Pago cheque por caja,"15,000.00",,"1,535,844.77"
08/03/2019,0000002980,Impuesto Art.12 Ley No.288-04,22.50,,"1,535,822.27"
08/03/2019,0000003039,Pago cheque por caja,"15,000.00",,"1,520,822.27"
08/03/2019,0000003039,Impuesto Art.12 Ley No.288-04,22.50,,"1,520,799.77"
08/03/2019,0000000000,Deposito,,"201,226.96","1,722,026.73"
11/03/2019,0000007024,IBANKING         CR a Cta  de INNOVALIME,,"448,491.71","2,170,518.44"
11/03/2019,0000003017,Pago de Cheque Via Camara,"13,924.00",,"2,156,594.44"
11/03/2019,0000003017,Impuesto Art.12 Ley No.288-04,20.88,,"2,156,573.56"
11/03/2019,0000003046,Pago de Cheque Via Camara,"5,471.00",,"2,151,102.56"
11/03/2019,0000003046,Impuesto Art.12 Ley No.288-04,8.20,,"2,151,094.36"
13/03/2019,2711746110,"XXXXXXXX, S.R.L.-",,"314,462.76","2,465,557.12"
13/03/2019,2711966090,NDS DOMINICANA S-,,"800,378.78","3,265,935.90"
13/03/2019,0000000000,Debito por Transferencia,"2,097.20",,"3,263,838.70"
14/03/2019,0000000000,XXXXXX XXXXXXXXX-,"37,369.00",,"3,226,469.70"
14/03/2019,0000000000,Impuesto Art.12 Ley No.288-04,56.05,,"3,226,413.65"
14/03/2019,0000000000,COMISION SERVICIO ACH RD$-APROBADAS,8.00,,"3,226,405.65"
14/03/2019,0000003064,Pago cheque por caja,"7,508.97",,"3,218,896.68"
14/03/2019,0000003064,Impuesto Art.12 Ley No.288-04,11.26,,"3,218,885.42"
14/03/2019,0000003063,Pago cheque por caja,"2,491.03",,"3,216,394.39"
14/03/2019,0000003063,Impuesto Art.12 Ley No.288-04,3.73,,"3,216,390.66"
14/03/2019,0000000000,Debito por Transferencia,"300,000.00",,"2,916,390.66"
14/03/2019,0000003053,Pago de Cheque Via Camara,"50,000.00",,"2,866,390.66"
14/03/2019,0000003053,Impuesto Art.12 Ley No.288-04,75.00,,"2,866,315.66"
14/03/2019,0000003055,Pago de Cheque Via Camara,"70,000.00",,"2,796,315.66"
14/03/2019,0000003055,Impuesto Art.12 Ley No.288-04,105.00,,"2,796,210.66"
14/03/2019,0000003058,Pago de Cheque Via Camara,"120,000.00",,"2,676,210.66"
14/03/2019,0000003058,Impuesto Art.12 Ley No.288-04,180.00,,"2,676,030.66"
15/03/2019,1900121894,ORD: XXXXXX XXXXXXXXXL DUARTE SRL,,"1,915,200.00","4,591,230.66"
15/03/2019,0000003054,Pago Cheque Via Deposito,"50,000.00",,"4,541,230.66"
15/03/2019,0000003054,Impuesto Art.12 Ley No.288-04,75.00,,"4,541,155.66"
15/03/2019,0000003069,Pago cheque por caja,"38,800.00",,"4,502,355.66"
15/03/2019,0000003069,Impuesto Art.12 Ley No.288-04,58.20,,"4,502,297.46"
15/03/2019,0000003056,Pago de Cheque Via Camara,"222,073.69",,"4,280,223.77"
15/03/2019,0000003056,Impuesto Art.12 Ley No.288-04,333.11,,"4,279,890.66"
15/03/2019,0000003059,Pago de Cheque Via Camara,"311,700.00",,"3,968,190.66"
15/03/2019,0000003059,Impuesto Art.12 Ley No.288-04,467.55,,"3,967,723.11"
15/03/2019,0000003065,Pago de Cheque Via Camara,"173,678.16",,"3,794,044.95"
15/03/2019,0000003065,Impuesto Art.12 Ley No.288-04,260.51,,"3,793,784.44"
15/03/2019,0000003078,Pago de Cheque Via Camara,"75,000.00",,"3,718,784.44"
15/03/2019,0000003078,Impuesto Art.12 Ley No.288-04,112.50,,"3,718,671.94"
18/03/2019,0000003087,Pago cheque por caja,"50,000.00",,"3,668,671.94"
18/03/2019,0000003087,Impuesto Art.12 Ley No.288-04,75.00,,"3,668,596.94"
18/03/2019,0000000075,COM. SERVICIO PAGOS A 3ROS RD$-APROBADAS,5.00,,"3,668,591.94"
18/03/2019,2715768870,Impuesto Art.12 Ley No.288-04,11.38,,"3,668,580.56"
18/03/2019,2715768870,XXXXXX XXXXXXXXX-PAGO PROFORMA 16684,"7,589.52",,"3,660,991.04"
18/03/2019,0000003060,Pago de Cheque Via Camara,"500,000.00",,"3,160,991.04"
18/03/2019,0000003060,Impuesto Art.12 Ley No.288-04,750.00,,"3,160,241.04"
18/03/2019,0000003061,Pago de Cheque Via Camara,"350,000.00",,"2,810,241.04"
18/03/2019,0000003061,Impuesto Art.12 Ley No.288-04,525.00,,"2,809,716.04"
18/03/2019,0000003081,Pago de Cheque Via Camara,"29,726.40",,"2,779,989.64"
18/03/2019,0000003081,Impuesto Art.12 Ley No.288-04,44.58,,"2,779,945.06"
19/03/2019,0000000000,Deposito,,"461,350.20","3,241,295.26"
19/03/2019,0000003088,Pago cheque por caja,"36,000.00",,"3,205,295.26"
19/03/2019,0000003088,Impuesto Art.12 Ley No.288-04,54.00,,"3,205,241.26"
19/03/2019,0000003052,Pago de Cheque Via Camara,"2,971.76",,"3,202,269.50"
19/03/2019,0000003052,Impuesto Art.12 Ley No.288-04,4.45,,"3,202,265.05"
19/03/2019,0000003066,Pago de Cheque Via Camara,"89,767.28",,"3,112,497.77"
19/03/2019,0000003066,Impuesto Art.12 Ley No.288-04,134.65,,"3,112,363.12"
19/03/2019,0000003067,Pago de Cheque Via Camara,"164,024.48",,"2,948,338.64"
19/03/2019,0000003067,Impuesto Art.12 Ley No.288-04,246.03,,"2,948,092.61"
19/03/2019,0000003082,Pago de Cheque Via Camara,"190,000.00",,"2,758,092.61"
19/03/2019,0000003082,Impuesto Art.12 Ley No.288-04,285.00,,"2,757,807.61"
20/03/2019,0000000118,XXXXXX XXXXXXXXX A CUENTA 39  MONTO PARQ,,"475,458.29","3,233,265.90"
20/03/2019,0000003077,Pago Cheque Via Deposito,"132,211.80",,"3,101,054.10"
20/03/2019,0000003077,Impuesto Art.12 Ley No.288-04,198.31,,"3,100,855.79"
20/03/2019,0000003080,Pago de Cheque Via Camara,"34,599.79",,"3,066,256.00"
20/03/2019,0000003080,Impuesto Art.12 Ley No.288-04,51.89,,"3,066,204.11"
21/03/2019,2718616930,XXX XXXXXXX XX X-,,"6,923.61","3,073,127.72"
21/03/2019,0000003091,Pago de Cheque Via Camara,"85,000.00",,"2,988,127.72"
21/03/2019,0000003091,Impuesto Art.12 Ley No.288-04,127.50,,"2,988,000.22"
22/03/2019,0000003092,Pago cheque por caja,"7,000.00",,"2,981,000.22"
22/03/2019,0000003092,Impuesto Art.12 Ley No.288-04,10.50,,"2,980,989.72"
22/03/2019,1900304444,Pago al Instante Transf. # 00736483280,"9,608.20",,"2,971,381.52"
22/03/2019,1900304444,Imp. Art. 12 ley 288-04,14.41,,"2,971,367.11"
22/03/2019,1900304444,Com. Pago al Inst. RD$,100.00,,"2,971,267.11"
25/03/2019,0000000000,XXXXXX XXXXXXXXX-,"26,205.98",,"2,945,061.13"
25/03/2019,0000000000,Impuesto Art.12 Ley No.288-04,39.30,,"2,945,021.83"
25/03/2019,0000000000,COMISION SERVICIO ACH RD$-APROBADAS,8.00,,"2,945,013.83"
25/03/2019,0000003057,Pago cheque por caja,"45,500.00",,"2,899,513.83"
25/03/2019,0000003057,Impuesto Art.12 Ley No.288-04,68.25,,"2,899,445.58"
25/03/2019,0000002993,Pago cheque por caja,"3,043.02",,"2,896,402.56"
25/03/2019,0000002993,Impuesto Art.12 Ley No.288-04,4.56,,"2,896,398.00"
25/03/2019,0000003068,Pago de Cheque Via Camara,"3,000.00",,"2,893,398.00"
25/03/2019,0000003068,Impuesto Art.12 Ley No.288-04,4.50,,"2,893,393.50"
25/03/2019,0000003076,Pago de Cheque Via Camara,"132,718.08",,"2,760,675.42"
25/03/2019,0000003076,Impuesto Art.12 Ley No.288-04,199.07,,"2,760,476.35"
26/03/2019,0000003062,Pago Cheque Via Deposito,"9,563.61",,"2,750,912.74"
26/03/2019,0000003062,Impuesto Art.12 Ley No.288-04,14.34,,"2,750,898.40"
