Titular,Cuenta,Alias,Fecha del reporte,Sucursal,Balance
"XXX XXXXXXXXXXXL, X.X.X.",XXXXX-0XX,{Alias},22/11/2019,XXXXX XXXXXXXXXXXXX,"1,478,965.62"
Oficial que maneja su cuenta es : XXXX X. XXXXXXXX XXX X. XXXXXXX X.
Período
Desde:,01/10/2019,Hasta:,31/10/2019

Fecha,Descripción,Débito,Crédito,Balance,
BALANCE AL INICIO DEL: ,"2,639,237.96",
04/10/2019,Por Transferencia Para Pago Nominas,"9,520.00",,"2,629,717.96",
04/10/2019,Por Manejo De Cuenta Nomina,100.00,,"2,629,617.96",
04/10/2019,Imp. 1.5 Por 1000 S/Ley 288-04,14.28,,"2,629,603.68",
04/10/2019,Debito Por Transferencia S/Solicitud,"1,056,000.00",,"1,573,603.68",
04/10/2019,Imp. 1.5 Por 1000 S/Ley 288-04,"1,584.00",,"1,572,019.68",
04/10/2019,Transferencia De Fondos Entre Cuentas,25.00,,"1,571,994.68",
04/10/2019,Por Transferencia Para Pago Nominas,"62,888.89",,"1,509,105.79",
04/10/2019,Por Manejo De Cuenta Nomina,100.00,,"1,509,005.79",
04/10/2019,Imp. 1.5 Por 1000 S/Ley 288-04,94.33,,"1,508,911.46",
04/10/2019,Por Transferencia Para Pago Nominas,360.00,,"1,508,551.46",
04/10/2019,Por Manejo De Cuenta Nomina,100.00,,"1,508,451.46",
04/10/2019,Imp. 1.5 Por 1000 S/Ley 288-04,0.54,,"1,508,450.92",
04/10/2019,Pago Cheque Por Camara,"359,099.96",,"1,149,350.96",
04/10/2019,Imp. 1.5 Por 1000 S/Ley 288-04,538.65,,"1,148,812.31",
07/10/2019,Debito Por Transferencia S/Solicitud,"897,600.00",,"251,212.31",
07/10/2019,Imp. 1.5 Por 1000 S/Ley 288-04,"1,346.40",,"249,865.91",
07/10/2019,Transferencia De Fondos Entre Cuentas,25.00,,"249,840.91",
08/10/2019,Deposito A Cuentas  .0,,"92,834.24","342,675.15",
08/10/2019,Por Transferencia Para Pago Nominas,"19,000.00",,"323,675.15",
08/10/2019,Por Manejo De Cuenta Nomina,100.00,,"323,575.15",
08/10/2019,Imp. 1.5 Por 1000 S/Ley 288-04,28.50,,"323,546.65",
09/10/2019,Deposito A Cuentas  PAGO AVENTURA,,"54,093.00","377,639.65",
10/10/2019,Deposito A Cuentas  .,,"21,186.00","398,825.65",
14/10/2019,Por Transferencia Para Pago Nominas,"4,800.00",,"394,025.65",
14/10/2019,Por Manejo De Cuenta Nomina,100.00,,"393,925.65",
14/10/2019,Imp. 1.5 Por 1000 S/Ley 288-04,7.20,,"393,918.45",
15/10/2019,Por Transferencia Para Pago Nominas,"88,887.53",,"305,030.92",
15/10/2019,Por Manejo De Cuenta Nomina,100.00,,"304,930.92",
15/10/2019,Imp. 1.5 Por 1000 S/Ley 288-04,133.33,,"304,797.59",
15/10/2019,Deposito A Cuentas  .,,"61,295.97","366,093.56",
15/10/2019,Deposito A Cuentas  .,,"20,000.00","386,093.56",
15/10/2019,Deposito A Cuentas  .,,"23,592.00","409,685.56",
17/10/2019,Deposito A Cuentas  PAGO TEJEDA MOREL,,"3,624.00","413,309.56",
22/10/2019,Deposito A Cuentas  0,,"6,672.00","419,981.56",
22/10/2019,Deposito A Cuentas  0,,"24,175.30","444,156.86",
23/10/2019,Deposito A Cuentas  .,,"201,715.98","645,872.84",
23/10/2019,Por Endoso Irregular,"24,175.30",,"621,697.54",
23/10/2019,Por Rechazo De Cheque Depositado,350.00,,"621,347.54",
25/10/2019,Deposito A Cuentas  .,,"55,352.03","676,699.57",
28/10/2019,Deposito A Cuentas  .3,,"222,845.56","899,545.13",
28/10/2019,Por Transferencia Para Pago Nominas,"5,695.75",,"893,849.38",
28/10/2019,Por Manejo De Cuenta Nomina,100.00,,"893,749.38",
28/10/2019,Imp. 1.5 Por 1000 S/Ley 288-04,8.54,,"893,740.84",
29/10/2019,Por Transferencia Para Pago Nominas,"9,465.07",,"884,275.77",
29/10/2019,Por Manejo De Cuenta Nomina,100.00,,"884,175.77",
29/10/2019,Imp. 1.5 Por 1000 S/Ley 288-04,14.20,,"884,161.57",
30/10/2019,Por Transferencia Ach-Ach Recibida: Banesco Banco Mu - Ref*Txt*Ach-102919 00137780,,"1,898.00","886,059.57",
30/10/2019,Por Transferencia Ach-Ach Recibida: Banesco Banco Mu - Ref*Txt*Ach-102919 00137780,,"1,485.00","887,544.57",
30/10/2019,Deposito A Cuentas  PAGO AVENTURA,,"12,927.97","900,472.54",
30/10/2019,Por Transferencia Para Pago Nominas,"83,756.33",,"816,716.21",
30/10/2019,Por Manejo De Cuenta Nomina,100.00,,"816,616.21",
30/10/2019,Imp. 1.5 Por 1000 S/Ley 288-04,125.63,,"816,490.58",
31/10/2019,Deposito A Cuentas  09,,"242,031.16","1,058,521.74",
31/10/2019,Por Transferencia Para Pago Nominas,"7,680.01",,"1,050,841.73",
31/10/2019,Por Manejo De Cuenta Nomina,100.00,,"1,050,741.73",
31/10/2019,Imp. 1.5 Por 1000 S/Ley 288-04,11.52,,"1,050,730.21",
31/10/2019,Capitalizacion Normal De Intereses,,"2,098.91","1,052,829.12",
31/10/2019,Desc. 1% (Norma Dgii 13-2011),20.99,,"1,052,808.13",
31/10/2019,Por Retencion/Envio Est. Cta.,120.00,,"1,052,688.13",
Cantidad débitos: 42 Cantidad créditos: 17
